No;Kode;Kab/Kota;Tahun;Latitude;Longitude;Y;X1;X2;X3;X4;X5
52;25;KOTA CIMAHI;2021;-6.87121;107.555486;5.35;13.07;12019;11.08;254059;61.79
53;26;KOTA TASIKMALAYA;2021;-7.316436;108.1971;13.13;7.66;10213;9.52;316349;65.75
54;27;KOTA BANJAR;2021;-7.362487;108.55887;7.11;6.09;10476;8.77;88631;64.07
55;1;KABUPATEN BOGOR;2020;-6.479679;106.824965;7.69;14.29;10317;8.3;2342939;62.65
56;2;KABUPATEN SUKABUMI;2020;-6.915727;106.932576;7.09;9.6;8823;7.07;1036735;61.56
57;3;KABUPATEN CIANJUR;2020;-6.822558;107.139542;10.36;11.05;7980;7.18;1054579;69.26
58;4;KABUPATEN BANDUNG;2020;-7.012851;107.528627;6.91;8.58;10201;8.96;1569974;62.2
59;5;KABUPATEN GARUT;2020;-7.202988;107.885592;9.98;8.96;7876;7.52;1052573;61.11
60;6;KABUPATEN TASIKMALAYA;2020;-7.361212;108.112488;10.34;7.12;7852;7.35;877416;69.54
61;7;KABUPATEN CIAMIS;2020;-7.325788;108.3514;7.62;5.66;9288;7.7;640767;71.41
62;8;KABUPATEN KUNINGAN;2020;-6.976233;108.482982;12.82;11.22;9459;7.57;463164;61.98
63;9;KABUPATEN CIREBON;2020;-6.764507;108.478858;11.24;11.52;10342;6.92;938217;63.79
64;10;KABUPATEN MAJALENGKA;2020;-6.836531;108.227876;11.43;5.84;9521;7.27;625576;69.66
65;11;KABUPATEN SUMEDANG;2020;-6.861126;107.920102;10.26;9.89;10217;8.51;574606;68.96
66;12;KABUPATEN INDRAMAYU;2020;-6.327234;108.322903;12.7;9.21;9859;6.3;854045;69.53
67;13;KABUPATEN SUBANG;2020;-6.571549;107.762495;9.31;9.48;10790;7.1;746284;66.7
68;14;KABUPATEN PURWAKARTA;2020;-6.551701;107.446541;8.27;11.07;11614;8.09;384543;60.91
69;15;KABUPATEN KARAWANG;2020;-6.301721;107.30529;8.26;11.52;11315;7.77;1028735;64.9
70;16;KABUPATEN BEKASI;2020;-6.364614;107.172509;4.82;11.54;11241;9.12;1628231;64.23
71;17;KABUPATEN BANDUNG BARAT;2020;-6.840651;107.512302;10.49;12.25;8455;8.19;656087;59.91
72;18;KABUPATEN PANGANDARAN;2020;-7.701397;108.495155;8.99;5.08;9084;7.74;233143;76.79
73;19;KOTA BOGOR;2020;-6.594946;106.794913;6.68;12.68;11564;10.33;449120;60.81
74;20;KOTA SUKABUMI;2020;-6.918366;106.931496;7.7;12.17;10999;9.59;122662;55.74
75;21;KOTA BANDUNG;2020;-6.910786;107.609757;3.99;11.19;16887;10.75;1167849;64.71
76;22;KOTA CIREBON;2020;-6.707076;108.557818;9.52;10.97;11800;9.91;139334;63.76
77;23;KOTA BEKASI;2020;-6.236221;106.994293;4.38;10.68;15776;11.16;1348530;64.74
